No,Perusahaan,Alamat,KBLI
50.,PT  Madya Valensi Prima,"Soho Capital lantai 19 Podomoro City, Jl. Letjend S. Parman Kav.28, Desa/Kelurahan Tanjung Duren Selatan, Kec. Grogol Petamburan, Kota Adm. Jakarta Barat, Provinsi DKI Jakarta,, Tanjung Duren
Selatan, Grogol Petamburan, Kota Jakarta Barat, DKI Jakarta Telp. 081*********",
51.,PT  MAHADY TEKNOLOGI RIAU,"Jl. Lingkar Pasir Putih, Pangkalan  Baru, Siak Hulu, Kabupaten Kampar, Riau Telp. 082*********",11051
52.,CV  Makmur Sentosa Abadi,"Jl. Pelangi No. 9-11, Sukamukti, Majalaya, Kabupaten Bandung, Jawa Barat Telp. 081********",13121
53.,PT Perorangan  Maktabah Store Retail Solution,"Jl. Pesantren No. 146 RT 003 RW 016, Cibabat, Cimahi Utara, Kota Cimahi, Jawa Barat Telp. 088*********",18111
54.,PT  Mega Cool Nusantara,"Legalyn Indonesia, Ciputra Internasional, Tokopedia Care Tower Lt. 15 Unit 10, Jalan Lkr. Luar Barat Nomor 101, Rawa Buaya, Cengkareng, Kota Jakarta Barat, DKI Jakarta Telp. 081*********",
55.,PR  MUJI LESTARI,"Bansari, RT 001/004, Kepek, Wonosari, Kabupaten Gunung Kidul, DI Yogyakarta Telp. 087*********",13134
56.,PT  Multiplast Maju Makmur,Telp.,
57.,PT  Multitek Kabel Indonesia,"Jalan Bintang Mas No 4 Kelurahan Nanggewer Mekar, Nanggewer  Mekar, Cibinong, Kabupaten Bogor, Jawa Barat Telp. 021-83723865",27310
58.,CV  Mutiara Kalimantan,Telp.,
59.,PR  Mv Global,"Jl.Durian Raya Tanah Kapling Jetis Kalinegoro, Kalinegoro, Mertoyudan, Kabupaten Magelang, Jawa Tengah Telp. 081********",12091
60.,PT  Natajaya Bnh Indonesia,"Jl. Nasional III, Gading II, RT. 10/02, Gading, Playen, Kabupaten Gunung Kidul, DI Yogyakarta Telp. 082*********",
21.,CV  Aws Sakses,"Jl. Raya Ponco Soko RT. 018 / RW.004 Desa Suciharjo Kec. Parengan Kab. Tuban, Suciharjo, Parengan, Kabupaten Tuban, Jawa Timur Telp. 081*********",23953
22.,PT  Ayari Persada,Telp.,
23.,CV  Azhari Permata Mandiri,Telp.,
24.,PT  Benang Jarum Ofc,"GIRIMARTO, Girimarto, Girimarto, Kabupaten Wonogiri, Jawa Tengah Telp. 085*********",14111
25.,PT  Boenk Cosmetic Manufacture,"JL. KARYA DUSUN IX, Marendal  I, Patumbak, Kabupaten Deli Serdang, Sumatera Utara Telp. 0618521785574",20232
26.,PT  Carsurin Oil And Gas Services,"Ruko Graha Mas Blok A7, Jl. Perjuangan No. 3, RT 3/RW 7, Kebon Jeruk, Jakarta Barat 11530, Kebon Jeruk, Kebon Jeruk, Kota Jakarta Barat, DKI Jakarta Telp. 02150226868",71204
27.,PT  CITA BOGA JAYA,"Jl. Kopo Bihbul No. 45, Margahayu Tengah, Margahayu, Kabupaten Bandung, Jawa Barat Telp. 085***********",10799
28.,CV  Dipta Karya Mitratama,"Jl. Brigif No.39, Cipedak, Jagakarsa, Kota Jakarta Selatan, DKI Jakarta Telp. 02127803960",18111
29.,PT  Dua Landak Persada,"Jl. Deblod sundoro no 31, Bagelen, Padang Hilir, Kota Tebing Tinggi, Sumatera Utara Telp. 081*********",12011
30.,PR  Ersob,Telp.,
31.,PT  Fanidita Sarana,Telp.,
32.,PT  Fdi Circle Indonesia,"Jl. Kapitan Raya No 55 A, Curug, Cimanggis, Kota Depok, Jawa Barat Telp. 081*******",
33.,PT  Formitra Multi Prakarsa,"Jl. Daendels Km. 61,8, Kel. Sidokelar, Kec. Paciran, Kab. Lamongan, Provinsi Jawa Timur, Sidokelar, Paciran, Kabupaten Lamongan, Jawa Timur Telp. 79192007",20123
34.,PT  Gunungmas Multiusaha,"JL. RAYA PRANCIS NO. 2 PERGUDANGAN MUTIARA KOSAMBI BLOK C6 NO 23, Dadap, Kosambi, Kabupaten Tangerang, Banten Telp. 0216281303",26602
35.,CV  Hartini Putri Tunggal,Telp.,
36.,CV  Hebat Tobacco,"JL GATOTKOCO DSN. PAREREJO DS. GEDANGSEWU KEC. PARE, Gedangsewu, Pare, Kabupaten Kediri, Jawa Timur Telp. 082*********",12011
37.,PT  Hutan Makmur Indonesia,Telp.,
38.,PR  IDA,"Kp hambulu rt 01/06, Pondok Udik, Kemang, Kabupaten Bogor, Jawa Barat Telp. 081********",32903
39.,CV  Idka Jaya,"Jalan Garuda Gg. Karya II Nomor 09, Lempeh, Sumbawa, Kabupaten Sumbawa, Nusa Tenggara Barat Telp. 081*********",45201
40.,UD  IFA ROSIDA,"JL . Cabean RT 03, Panggungharjo, Sewon, Bantul, Panggungharjo, Sewon, Kabupaten Bantul, DI Yogyakarta Telp. 081*********",31001
401.,PR Abd Rahman,"Jl. Larangan Ra'as, Ketawang Larangan, Ganding, Kabupaten Sumenep, Jawa Timur Telp. 087*********",12011
402.,PR Abd Rahman,"Dusun Konja, Pamboborang, Banggae, Kabupaten Majene, Sulawesi Barat Telp. .",45407
403.,PR Abd Rahman,"Dusun IV Banua Baru, Banua Baru, Wonomulyo, Kabupaten Polewali Mandar, Sulawesi Barat Telp. 085*********",16221
404.,PR Abd Rahman,"Galung Barat, Galung, Banggae, Kabupaten Majene, Sulawesi Barat Telp. -",10211
405.,PR Abd Rahman A,Telp.,
406.,PR Abd Rahman Gondeng Anugerah Raulo Gowa,Telp.,
407.,PR ABD RAHMAN LASARI,"Jalan Lompo Battang, Balangnipa, Sinjai Utara, Kabupaten Sinjai, Sulawesi Selatan Telp. 085*********",10710
408.,PR Abd Rahman U.singgo,Telp.,
409.,PR Abd rahmat Karim,"Desa, Matansala, Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah Telp. 081*********",
410.,PR Abd Rahul Paungan,"paleleh, Paleleh, Paleleh, Kabupaten Buol, Sulawesi Tengah Telp. 082*********",32903
411.,PR Abd Rasid,"balombong utara, Balombong, Pamboang, Kabupaten Majene, Sulawesi Barat Telp. -",31001
412.,PR Abd Rasyid,"Desa Pamaroh, Pamaroh, Kadur, Kabupaten Pamekasan, Jawa Timur Telp. 081*********",12011
413.,PR Abd Rasyid Abbas,Telp.,
414.,PR ABD ROHIM,"DUSUN TAMBAK, Paopale Daya, Ketapang, Kabupaten Sampang, Jawa Timur Telp. 087*********",10793
415.,PR Abd Rohim,Telp.,
416.,PR Abd Rokhim,"Dusun Godong, Godong, Gudo, Kabupaten Jombang, Jawa Timur Telp. 087*********",14120
417.,PR Abd Roqib,"Jl. Kh. Masyurat Dusun Tarebung, Lenteng Barat, Lenteng, Kabupaten Sumenep, Jawa Timur Telp. 081*********",12011
418.,PR Abd Rozak,"Pandanarum RT 003 RW 001, Pandanarum, Tirto, Kabupaten Pekalongan, Jawa Tengah Telp. 082*********",13134
419.,PR Abd Salam,"rangas timur, Rangas, Banggae, Kabupaten Majene, Sulawesi Barat Telp. -",45407
420.,PR Abd Samad,"dusun tanamoni, Sarudu, Sarudu, Kabupaten Pasang kayu, Sulawesi Barat Telp. 085*********",31001
381.,PR Abd Fatah,Telp.,
382.,PR Abd Gaffar,Telp.,
383.,PR Abd Hakim,"Dsn Bunut, Plakpak, Pegantenan, Kabupaten Pamekasan, Jawa Timur Telp. 082*********",12013
384.,PR Abd Hamid,"JL. AHMAD YANI 109,, Wattang, Polewali, Kabupaten Polewali Mandar, Sulawesi Barat Telp. 082*********",11040
385.,PR Abd Jafar,"TUBO MASIGI, Tubo Poang, Tubo Sendana, Kabupaten Majene, Sulawesi Barat Telp. 083*********",20294
386.,PR Abd Kais,"BELALANG TENGAH, Onang Utara, Tubo Sendana, Kabupaten Majene, Sulawesi Barat Telp. 082*********",31001
387.,PR Abd Khotib,"Dusun Nglaban RT 010 RW 05, Bendet, Diwek, Kabupaten Jombang, Jawa Timur Telp. 085*********",
388.,PR Abd Latif,"Trasak, Trasak, Larangan, Kabupaten Pamekasan, Jawa Timur Telp. 081*********",12011
389.,PR Abd Muis,Telp.,
390.,PR Abd Mukti,"DSN. TO'KONING, Paterongan, Galis, Kabupaten Bangkalan, Jawa Timur Telp. 081*********",25931
391.,PR Abd Mukti,"Desa ngadimulyo, Ngadimulyo, Sukorejo, Kabupaten Pasuruan, Jawa Timur Telp. 081*********",12011
392.,PR Abd Muni Rozin,"Dusun Balang, Nyapar, Dasuk, Kabupaten Sumenep, Jawa Timur Telp. 087*********",12011
393.,PR Abd Rahim,"Perum Bilabong Permai Blok G2M No 39, Cimanggis, Bojong Gede, Kabupaten Bogor, Jawa Barat Telp. 085*********",10750
394.,PR ABD RAHIM,Telp.,
395.,PR Abd Rahim,"Jl. Sp. Teritit - Pondok Baru, Uning Teritit, Bukit, Kabupaten Bener Meriah, Nangroe Aceh Darussalam Telp. 081*********",
396.,PR Abd Rahim Pulasari,"BOBULA, Bobula, Morotai Selatan Barat, Kabupaten Pulau Morotai, Maluku Utara Telp. 0",10212
397.,PR Abd Rahim Syaraha,"Desa Kusu, Kusu, Oba Utara, Kota Tidore Kepulauan, Maluku Utara Telp. 082*********",10423
398.,PR Abd Rahman,"Dusun Labuang Rano, Labuang Rano, Tapalang Barat, Kabupaten Mamuju, Sulawesi Barat Telp. 081*********",31001
399.,PR Abd Rahman,"JL KIJANG, Labukkang, Ujung, Kota Pare-Pare, Sulawesi Selatan Telp. 081*********",10750
400.,PR Abd Rahman,"JL. AJATAPPARENG, Kampung Pisang, Soreang, Kota Pare-Pare, Sulawesi Selatan Telp. +6282348011801",10710
361.,PR Abbas Hasan,Telp.,
362.,PR Abbas Nasution,"SIBAGASI, Sibagasi, Padang Bolak, Kabupaten Padang Lawas Utara, Sumatera Utara Telp. 082*********",10794
363.,PT Abbasy Jaya Mandiri,Telp.,
364.,CV Abbasy Megah Karya,"JL. LUMBUNG HIDUP NO 20 RT 012 RW 004, NGEGONG, MANGUHARJO, Kota Madiun, Jawa Timur Telp. 088********",14120
365.,PT Abbotindo Berkat Bersama,Telp.,
366.,PT Abbott Indonesia,Telp.,
367.,PT Abbott Indonesia,Telp.,
368.,PT ABBOTT INDONESIA,"Jl. Raya Jakarta Bogor KM.37, Sukamaju, Cilodong, Kota Depok, Jawa Barat Telp. 021-8751735",21012
369.,PT Abc Fasteners,"Jalan Raya Kuta Bumi Triti Kawasan GKBI NOMOR 88, Karet, Sepatan, Kabupaten Tangerang, Banten Telp.",25952
370.,PT Abc Kogen Dairy,"Kp. Andir RT. 004, RW. 013, Cikuya, Cicalengka, Kabupaten Bandung, Jawa Barat Telp. 022 8756 1299",10590
371.,CV Abc Nd,"DUSUN SEMPON, DESA SUDIMORO,KEC.SRUMBUNG, KAB. MAGELANG, Sudimoro, Srumbung, Kabupaten Magelang, Jawa Tengah Telp. -",23953
372.,PT ABC PRESIDENT INDONESIA,"Jl. Raya Kosambi, Walahar, Klari, Walahar, Klari, Kabupaten Karawang, Jawa Barat Telp. 0267-431422",11040
373.,PT ABD ABADI JAYA,Telp.,
374.,PR Abd Al Asyraf Al Mutawwakil,Telp.,
375.,PR Abd Asis,"Dusun Samalio Utara, Mekkatta, Malunda, Kabupaten Majene, Sulawesi Barat Telp. 082*********",10722
376.,PR Abd Asis,"Dusun IV Banua Baru, Banua Baru, Wonomulyo, Kabupaten Polewali Mandar, Sulawesi Barat Telp. alt.c7-cofvk2is@yopmail.com",16221
377.,PR Abd Azis,"pasiang, Pasiang, Matakali, Kabupaten Polewali Mandar, Sulawesi Barat Telp. 085************",10722
378.,PR Abd Azis Hafid P,"Dusun Galung, Kalukku Barat, Kalukku, Kabupaten Mamuju, Sulawesi Barat Telp. 082*********",31001
379.,PR Abd Azis Hasan,"Lingkungan 1 No. 78, Olohuta, Kabila, Kabupaten Bone Bolango, Gorontalo Telp. 081*********",11040
380.,PR Abd Aziz,Telp.,
341.,PT Abadinusa Usahasemesta,"Jl. Raden Saleh No. 45 G, Cikini, Menteng, Kota Jakarta Pusat, DKI Jakarta Telp. 021-3101017",71205
342.,CV Abah,Telp.,
343.,PT Perorangan Abah Teknik Perkasa,"KP.CIMENTENG, Cimahi, Cicantayan, Kabupaten Sukabumi, Jawa Barat Telp. 085*********",28221
344.,BHL Abah Uki Sejahtera,Telp.,
345.,PT Abaisiat Raya,"JL RAYA PADANG PAINAN KM 9 SEI BEREMAS, Gates Nan XX, Lubuk Begalung, Kota Padang, Sumatera Barat Telp. 075162079",22123
346.,CV Abalaba Berkah Sejahtera,"JL. CIGADUNG RAYA BARAT NO. 8-A, Cigadung, Cibeunying Kaler, Kota Bandung, Jawa Barat Telp. +62 22 2518068",32300
347.,PR Abam Moomkey,"Jl. LASANGKURU, Paddupa, Tempe, Kabupaten Wajo, Sulawesi Selatan Telp. 082*********",
348.,PR Abang Achmad Fuad,"Jl Adhyaksa no 114  rt 002/001, Kacang Pedang, Gerunggang, Kota Pangkal Pinang, Kepulauan Bangka Belitung Telp. 082*********",10710
349.,PR Abang Hendrika,"Jl. Bahta Dusun Bahta, Bahta, Bonti, Kabupaten Sanggau, Kalimantan Barat Telp. 085*********",11052
350.,PR Abang Mudlan,"Dusun Sungai Poring, Popai, Ella Hilir, Kabupaten Melawi, Kalimantan Barat Telp. -",45407
351.,PR Abasiah,Telp.,
352.,PT Abason Baby Products Industry,"Jl. Raya Driyorejo KM 25.5, krikilan, driyorejo, Kabupaten Gresik, Jawa Timur Telp. 081********",22194
353.,CV Abata,Telp.,
354.,PR Abati Kitchen,"jln. birugo puhun no.45 rt.02 rw.05, Birugo, Aur Birugo Tigo Baleh, Kota Bukittinggi, Sumatera Barat Telp. 085*********",10710
355.,PT Abay Laksana Group,Telp.,
356.,PR Abay Suhabay,"KP. BUGEL MASJID, Bugel, Padarincang, Kabupaten Serang, Banten Telp. 087*********",10422
357.,PT ABB SAKTI INDUSTRI,"Jl. Gajah Tunggal Km.01, Pasir Jaya, Jatiuwung, Kota Tangerang, Banten Telp. 021 2559 5555",27120
358.,PT ABB Sakti Industri,"Jl Halmahera Blok DD-11, Kawasan Industri MM2100, Danau Indah, Cikarang Barat, Kabupaten Bekasi, Jawa Barat Telp. 02125515555",27120
359.,PT Abb Sakti Industri,"Gedung World Trade Center 3 Lt.25 dan 26, Jl. Jend. Sudirman Kav. 29-31, Karet, Setiabudi, Kota Jakarta Selatan, DKI Jakarta Telp. +622125515555",
360.,PT Abbacraft Multi Kreasi,Telp.,
321.,PT Abadi Nur Medika,"Pesona Depok Estate Blok AH N0. 5-6, Mekarjaya, Sukmajaya, Kota Depok, Jawa Barat Telp. 021-77803809",32502
322.,PT Abadi Nylon Rope & Fishing Net Manufacturing,"Jl. Ketegan No 42-44, Ketegan, Taman, Kabupaten Sidoarjo, Jawa Timur Telp. (031) 7881052",22291
323.,PT ABADI PLASTIK,"JL. SELAYAR 1 BLOK H 2, KAWASAN INDUSTRI MM2100, MEKARWANGI, CIKARANG BARAT, Kabupaten Bekasi, Jawa Barat Telp. 02128080235",22292
324.,PR abadi prima plastik,"JL. SADANG RAHAYU NO. 39 KAV. C-12B, DESA RAHAYU, MARGAASIH, Kabupaten Bandung, Jawa Barat Telp. 089********",32402
325.,PT Abadi Protesa Mata Medan,"Jalan Lingkar Tuktuk, Tuktuk Siadong, Simanindo, Kabupaten Samosir, Sumatera Utara Telp. 081*********",32502
326.,CV Abadi Putra Indo Karya,"DUSUN SUMBERGROTO RT.002 RW.002, Rejoagung, Srono, Kabupaten Banyuwangi, Jawa Timur Telp. 081*********",23957
327.,PR Abadi Rasa,Telp.,
328.,PT Abadi Rizki Medika,"Pesona Khayangan Mungil 1 Blok W No.12, Mekar Jaya, Sukmajaya, Kota Depok, Jawa Barat Telp. 081*********",32509
329.,PR Abadi Sejahtera,"GEDUNG L KIHT / LIK-IHT MEGAWON, Megawon, Jati, Kabupaten Kudus, Jawa Tengah Telp. 081*********",12011
330.,PT Abadi Sejahtera Mulia,"JL. raya serang km 16, Telagasari, Cikupa, Kabupaten Tangerang, Banten Telp. 081********",
331.,PT Abadi Selaras Cenderawasih,"Tokopedia Tower 9th Floor, Unit A, Jl. Prof. DR. Satrio No. 3, Desa/Kelurahan Karet Semanggi, Kec. Setiabudi, Kota Adm. Jakarta Selatan, Provinsi DKI Jakarta Kode Pos: c, Karet Semanggi, Setiabudi, Kota Jakarta Selatan, DKI Jakarta, 12950, Karet Kuningan, Setiabudi, Kota Jakarta Selatan, DKI Jakarta Telp. 021-30499617",
332.,CV Abadi Sentosa,"JL.SUKOMANUNGGAL JAYA X/ YL23, SUKOMANUNGGAL, SUKOMANUNGGAL, Kota Surabaya, Jawa Timur Telp. 0317344778 / 08123297696",22220
333.,PT Abadi Technology Terbaik,"Gd. Wirausaha Lt. 1 Unit 104. Jl. HR. Rasuna Said Kav. C-5, Karet, Setiabudi, Kota Jakarta Selatan, DKI Jakarta Telp. 081********",
334.,PT Abadi Teknik Putra,Telp.,
335.,PT Abadi Waris Makmur,Telp.,
336.,PR Abadiah,"JL. BUMI INDAH NO. 17 RT 09 RW 09, Sukabumi Utara, Kebon Jeruk, Kota Jakarta Barat, DKI Jakarta Telp. 083*********",11040
337.,PR Abadiati Mayasari,"wlingi wlingi, Desa/Kelurahan Wlingi, Wlingi, Wlingi, Kabupaten Blitar, Jawa Timur Telp. +6285707807907",10792
338.,PT Abadikokoh Insani,"Jl. Cipinang Muara 2 no 30A, Klender, Duren Sawit, Kota Jakarta Timur, DKI Jakarta Telp. 021-8615835",19212
339.,PT Abadikokoh Insani,"Jalan Cipinang Muara II No.30A, Klender, Duren Sawit, Kota Jakarta Timur, DKI Jakarta Telp. 021-8615835",19212
340.,PT Abadikurnia Citrarasa,"Jl. Kertajaya 63, KERTAJAYA, GUBENG, Kota Surabaya, Jawa Timur Telp. 5033180",10710
301.,PT Abadi Jaya Indo Utama,Telp.,
302.,CV Abadi Jaya Kevin,"Kp.Nagrak No. 90, Nagrak Selatan, Nagrak, Kabupaten Sukabumi, Jawa Barat Telp. 081***********",20231
303.,PT Abadi Jaya Makmur Mandiri,"Jl. Gatot Subroto Kawasan Industri, Ngaliyan, Ngaliyan, Kota Semarang, Jawa Tengah Telp. 024 3522363",24102
304.,PT Abadi Jaya Manunggal,"JL RAYA KM 19, NOLOKERTO, KALIWUNGU, NOLOKERTO, KALIWUNGU, Kabupaten Kendal, Jawa Tengah Telp.",
305.,PT Abadi Jaya Mode,Telp.,
306.,CV Abadi Jaya Nusantara,Telp.,
307.,CV Abadi Jaya Plastik,"JL. RAYA MRANGGEN KM. 17, KEMBANGARUM, MRANGGEN, Kabupaten Demak, Jawa Tengah Telp. 0246735450",22291
308.,PT Perorangan Abadi Jaya Probolinggo,"DUSUN KRESEK RT.22 RW.04, Sumberbendo, Sumberasih, Kabupaten Probolinggo, Jawa Timur Telp. 085*********",10794
309.,PT ABADI JAYA TEKNOLOGI,"Kampung Rawabangkong RT.001 RW.002, SERTAJAYA, CIKARANG TIMUR, Kabupaten Bekasi, Jawa Barat Telp. 021.29617923",
310.,CV Abadi Kautsar,Telp.,
311.,PT Abadi Kesling Indonesia,"C99 Business Park, Jl. Bina Marga No.25 9H, RT.8/RW.3, Ceger, Cipayung, Kota Jakarta Timur, DKI Jakarta Telp. 021-22619694",26513
312.,PT Abadi Kimia,"Jl. Panglima Sudirman No. 91-92, Kletek, Taman, Kabupaten Sidoarjo, Jawa Timur Telp. 0317881823",20111
313.,PT Abadi Lestari Indonesia,"Jl Raya Bojonegoro Babat RT007 RW 001 Desa Balenrejo, Balenrejo, Balen, Kabupaten Bojonegoro, Jawa Timur Telp. 0353 3234445",
314.,PT Abadi Maju Indah Jaya,"JL.CIGONDEWAH RAHAYU NO 7, CIGONDEWAH RAHAYU, BANDUNG KULON, Kota Bandung, Jawa Barat Telp. (022) 5410176",22220
315.,PT Abadi Makmur Manufaktur,"JL SEDATI NO 08 , DESA SEDATI NGORO, SEDATI, NGORO, Kabupaten Mojokerto, Jawa Timur Telp. 082*********",
316.,PT Abadi Makmur Perkasa,"Jalan Raya Rangkasbitung KM 11 No 8, Pasirbuyut, Jawilan, Kabupaten Serang, Banten Telp. 0254480486",23911
317.,PT Abadi Mandiri Katiga,"jl. Futsak E2, Sukamiskin, Arcamanik, Kota Bandung, Jawa Barat Telp. 081*********",71203
318.,PT ABADI MEDAN JAYA JAPARIS,"Jl.Rahmadsyah No.6, Kotamatsum  III, Medan Kota, Kota Medan, Sumatera Utara Telp. 081********",
319.,PT Abadi Medan Jaya Sempurna,"Jl. Pulau Pamagaran Komp. Pergudangan Solid Blok D-03 KIM III, Tangkahan, Medan Labuhan, Kota Medan, Sumatera Utara Telp. 081********",
320.,PR abadi Media,Telp.,61929
281.,PR Abadi,"PERUM AL-MINA BLOK F9, Kelurahan Sukarindik, Kec. Bungursari, Kota Tasikmalaya, Sukarindik, Bungursari, Kota Tasikmalaya, Jawa Barat Telp. 085*********",10710
282.,PT Abadi Agrosindo Persada,"Jl. Raya Surabaya Mojokerto KM 39, Bakungtemenggungan, Balongbendo, Kabupaten Sidoarjo, Jawa Timur Telp. 031-8987151",20124
283.,PT Abadi Aksara,"Jalan Dokter Krt. Radjiman Widyodiningrat No 23 A, Rawa Terate, Cakung, Kota Jakarta Timur, DKI Jakarta Telp. 021-4609264",
284.,PT Abadi Banua Cemerlang,"Komplek Sentra Bumi Niaga Surya Grand Cisoka, Blok A1, No.6, Jl. Raya Cisoka, Cibugel, Cisoka, Kabupaten Tangerang, Banten Telp. 081*********",27404
285.,PT Abadi Beton Perkasa,"Jl P Sumatera No 3, Kota Bangun, Medan Deli, Kabupaten Deli Serdang, Sumatera Utara Telp. 061 6855266",23957
286.,BUL ABADI BODAG,"Desa Bodag RT. 009 RW.002, Bodag, Kare, Kabupaten Madiun, Jawa Timur Telp. 085*********",10732
287.,PT Abadi Cahaya Nusantara Indonesia,"Jl. Raya Dayeuhkolot No.180, Citeureup, Dayeuhkolot, Kabupaten Bandung, Jawa Barat Telp. 0225222490",
288.,PT Abadi Coating Solusi,"JL. RAYA PASAR KEMIS KP. KERONCONG RT002/RW004, KERONCONG, JATIUWUNG, Kota Tangerang, Banten Telp. 0215902518",20221
289.,PT Abadi Dan Jaya Garmindo,"JL.P. SURYA NEGARA NO.63 RT.004/RW.001, PAMIJAHAN, PLUMBON, Kabupaten Cirebon, Jawa Barat Telp. 0231-321786",14111
290.,CV Abadi Es Kristal,Telp.,
291.,PT Abadi Final Kreasi,"TCC Batavia Tower One, Lantai 29, Jl. K.H. Mas Mansyur Kav 126, Karet Tengsin, Tanah Abang, Kota Jakarta Pusat, DKI Jakarta Telp. 02129675100",62029
292.,PT Abadi Garmindo,"JL. LINGKAR UTARA NO.245 DESA WANAREJAN UTRA, DESA WANAREJAN UTARA, TAMAN, Kabupaten Pemalang, Jawa Tengah Telp. 0284-5110988",14111
293.,PT Abadi Gemilang Industri,"Kp. Leduk No. 42 Rt. 004 Rw.001, Alam Jaya, Jatiuwung, Kota Tangerang, Banten Telp. 02155722461",17022
294.,PT Abadi Global Metalindo,"Jalan Kenari Blok G1 No. 25 A, Sukamahi, Cikarang Pusat, Kabupaten Bekasi, Jawa Barat Telp. -",
295.,PT Abadi Gunung Readymix,"Kampung Dukuh II  RT004/002, Dangdang, Cisauk, Kabupaten Tangerang, Banten Telp. 081*********",23957
296.,PT Abadi Inti Reka,"Jl. Kalianak Madya No.III, RW.no.21, Asem Rowo, Asem Rowo, Kota Surabaya, Jawa Timur Telp. 081*********",28210
297.,PT Abadi Jaya Automatis,Telp.,
298.,PT Abadi Jaya Automatis,"RUKO PASAR BERSIH CENGKARENG,BLOK B1 NO 2, JALAN DANAU BATUR BUMI CITRA IDAMAN, Cengkareng  Timur, Cengkareng, Kota Jakarta Barat, DKI Jakarta Telp. 02129863449",31004
299.,CV Abadi Jaya Garment,"JL RAYA GEMOLONG - KARANGGEDE KM 2 KP MIJAHAN, NGEMBATPADAS, GEMOLONG, KAB. SRAGEN, JAWA TENGAH,, Ngembatpadas, Gemolong, Kabupaten Sragen, Jawa Tengah Telp. 082*********",
300.,PT Abadi Jaya Indo Utama,Telp.,
261.,PR Aas,"KP. Pasir Tarate RT. 005/002, Kidangpananjung, Cililin, Kabupaten Bandung Barat, Jawa Barat Telp. 083*********",10792
262.,PR Aas Ayu Pitaloka,"BLOK SENEN RT/RW 001/003, Maja Selatan, Maja, Kabupaten Majalengka, Jawa Barat Telp. +6281546963085",10710
263.,PR Aas Siti Asiah,Telp.,
264.,PR Aas Siti Asiah,Telp.,10710
265.,PR Aas Sulastri,"Dusun Sukamenak RT/RW 010/011, Cisaga, Cisaga, Kabupaten Ciamis, Jawa Barat Telp. 085*********",10312
266.,PT Aasiyah Albarokah Indonesia,"Jl. Pal Putih No 73, Kramat, Senen, Kota Jakarta Pusat, DKI Jakarta Telp. 081*********",
267.,PT Aau Asia Records,Telp.,
268.,UD Ab Coffee,"DUSUN RI NABOLAK, Kilang Papan, Sipirok, Kabupaten Tapanuli Selatan, Sumatera Utara Telp. 082*********",10761
269.,PR Ab Hydraulic,"Jl. Margomulyo, indah 1 Blok D19 Tandes Barat , Surabaya Barat, Balongsari, Tandes, Kota Surabaya, Jawa Timur Telp. 0317484090",
270.,PT Aba Cnc Indonesia,"Sentra Industri Kecil dan Menengah (SIKM) Jl Lingkar utara, Cikasarung, Majalengka, Kabupaten Majalengka, Jawa Barat Telp. 081*********",28221
271.,CV Ababil Group,Telp.,
272.,PT ABACUS KENCANA INDUSTRIES,"Jl Ramin V Blok G6A No. 1C Kawasan Industri Delta Silicon VI, Jayamukti, Cikarang Pusat, Kabupaten Bekasi, Jawa Barat Telp. 021-89677318",25991
273.,PR Abad,"Kelurahan wawotobi, Wawotobi, Wawotobi, Kabupaten Konawe, Sulawesi Tenggara Telp. 082*********",10622
274.,CV Abad Jepara,"DESA BANJARAN RT.01 / RW.01, Banjaran, Bangsri, Kabupaten Jepara, Jawa Tengah Telp. 0291 771944",31001
275.,CV Abadan Abada,"Link Kepandean Gg Saudara No 21 RT/RW 05/06 Kota Serang Banten, Kagungan, Serang, Kota Serang, Banten Telp. 089********",10750
276.,PT Abadan Ati Bungah,Telp.,
277.,PT Abadan Nusantara International,Telp.,
278.,CV Abadi,"Jalan Hibrida No. 51, Pagar Dewa, Selebar, Kota Bengkulu, Bengkulu Telp. 0736-51005",10774
279.,PT Abadi,Telp.,
280.,PR Abadi,Telp.,
241.,PR Aan Restu Aristiawan,"JL. H. AGUSSALIM, Ujung Bulu, Ujung, Kota Pare-Pare, Sulawesi Selatan Telp. 089**********",10532
242.,PR Aan Rohanah,Telp.,
243.,PR Aan Saeful Alam,"Dusun Aryakiban, Rajagaluh  Kidul, Rajagaluh, Kabupaten Majalengka, Jawa Barat Telp. 081*********",
244.,PR Aan Siti Andriani,"Blok Sarongge RT 002 RW	004, Sukaraja Kulon, Jatiwangi, Kabupaten Majalengka, Jawa Barat Telp. 085*********",10710
245.,PR Aan Sri Ramayani,"HUTA SETIA TAWAR, Maligas Bayu, Huta Bayu Raja, Kabupaten Simalungun, Sumatera Utara Telp. 082*********",10794
246.,PR Aan Sumantri,"Perumnas tulung mili desa kotabumi ilir kec. kotabumi. Kab lampung Utara prov. Lampung, Kotabumi Ilir, Kotabumi, Kabupaten Lampung Utara, Lampung Telp. 082*********",
247.,PR Aan Suryana,"Jl. Taifur Yusuf No. 1218 RT. 001 RW. 012 Gg. Pulo, Bojongherang, Cianjur, Kabupaten Cianjur, Jawa Barat Telp. 085*********",12019
248.,PR Aan Suryani,Telp.,
249.,PR Aan Teknik,"Jorong Bamban, IV Koto Palembayan, Palembayan, Kabupaten Agam, Sumatera Barat Telp. 082*********",25111
250.,PR Aan Yani,Telp.,
